family,setting,N,exact_utility,monte_carlo_utility
exact_law_stress,tail_misalignment,1,0.46,0.4610000000000002
exact_law_stress,tail_misalignment,2,0.48040000000000005,0.4765750000000001
exact_law_stress,tail_misalignment,4,0.45107344000000005,0.4475250000000001
exact_law_stress,tail_misalignment,8,0.2855294028116224,0.28577500000000006
exact_law_stress,tail_misalignment,16,-0.04430021027732867,-0.04379999999999999
exact_law_stress,tail_misalignment,32,-0.39290434172507366,-0.38677499999999987
exact_law_stress,tail_misalignment,64,-0.5714060674419338,-0.5708249999999998
exact_law_stress,tail_misalignment,128,-0.5994549246782513,-0.5996999999999998
exact_law_stress,rare_bad_tail,1,0.35500000000000004,0.3576724999999999
exact_law_stress,rare_bad_tail,2,0.34846,0.34645
exact_law_stress,rare_bad_tail,4,0.31030367200000003,0.308965
exact_law_stress,rare_bad_tail,8,0.17865386142980988,0.17818749999999997
exact_law_stress,rare_bad_tail,16,-0.13003774645880412,-0.1326725
exact_law_stress,rare_bad_tail,32,-0.58622921065494,-0.5824899999999998
exact_law_stress,rare_bad_tail,64,-0.9606495934397881,-0.9563599999999999
exact_law_stress,rare_bad_tail,128,-1.0897795167729019,-1.0906899999999997
exact_law_stress,benign_tail,1,0.568,0.5657600000000003
exact_law_stress,benign_tail,2,0.6899200000000001,0.6934750000000002
exact_law_stress,benign_tail,4,0.8457253120000001,0.8449650000000002
exact_law_stress,benign_tail,8,0.9883053134376754,0.9872350000000001
exact_law_stress,benign_tail,16,1.0868660662212897,1.08633
exact_law_stress,benign_tail,32,1.1585742417789693,1.1573549999999997
exact_law_stress,benign_tail,64,1.194281213415201,1.1941649999999997
exact_law_stress,benign_tail,128,1.1998909849356503,1.1999399999999998
